,pH_avg_chpctm,Turbidity_avg_chpctm,Color_avg_chpctm,Iron_avg_chpctm,Ammonia_avg_chpctm,Manganese_avg_chpctm,Coagulant_chpctm,pH Adjuster_chpctm,Disinfectant_chpctm,Flouridation_chpctm,Date,wtp,pH_avg,Turbidity_avg,Color_avg,Iron_avg,Ammonia_avg,Manganese_avg,Disinfectant,Coagulant,Flouridation,pH Adjuster
0,1.5761821366024493,-7.02384841555047,-6.682067571469805,20.689655172413797,23.52941176470587,40.00000000000001,-6.05427974947808,14.109483423284509,-2.702702702702698,9.615384615384603,2021-04-01,Sungai Tengi,5.8,14.23,80.79,1.05,0.21,0.07,3.24,9.0,0.57,22.2
1,2.2767075306479843,-7.5465534139170165,12.850129945134295,32.183908045977,17.64705882352941,-20.000000000000004,-6.05427974947808,14.109483423284509,5.105105105105103,9.615384615384603,2021-04-02,Sungai Tengi,5.84,14.15,97.7,1.15,0.2,0.04,3.5,9.0,0.57,22.2
2,3.6777583187390537,-13.23097027115322,34.27663875252673,40.22988505747126,17.64705882352941,-40.00000000000001,-26.931106471816285,-21.870984322796193,5.105105105105103,-1.9230769230769247,2021-04-03,Sungai Tengi,5.92,13.28,116.25,1.22,0.2,0.03,3.5,7.0,0.51,15.2
3,5.4290718038528825,-18.719372754001963,17.909327172971427,33.33333333333333,-76.47058823529412,0.0,-26.931106471816285,-14.726291441788735,9.609609609609604,1.9230769230769247,2021-04-04,Sungai Tengi,6.02,12.44,102.08,1.16,0.04,0.05,3.65,7.0,0.53,16.59
4,7.005253940455347,-22.051617118588695,0.29454230436039236,47.1264367816092,-5.8823529411764754,-20.000000000000004,-26.931106471816285,-12.104857363145706,6.906906906906906,5.7692307692307745,2021-04-05,Sungai Tengi,6.11,11.93,86.83,1.28,0.16,0.04,3.56,7.0,0.55,17.1
5,3.3274956217162943,449.624305782424,346.433727981519,100.0,217.6470588235294,180.0,64.40501043841336,27.884862503212567,11.111111111111114,3.8461538461538494,2021-04-06,Sungai Tengi,5.9,84.12,386.5,1.74,0.54,0.14,3.7,15.75,0.54,24.880000000000003
6,-0.35026269702275964,68.57236197321139,44.38348252959863,31.03448275862068,41.17647058823528,19.99999999999999,24.4258872651357,13.64687740940633,8.108108108108109,0.0,2021-04-07,Sungai Tengi,5.69,25.8,125.0,1.14,0.24,0.06,3.6,11.92,0.52,22.11
7,0.7005253940455347,466.1548513557661,250.38983540283,108.04597701149426,164.7058823529412,300.00000000000006,56.57620041753654,10.819840657928555,9.30930930930931,-1.9230769230769247,2021-04-08,Sungai Tengi,5.75,86.65,303.35,1.81,0.45,0.2,3.64,15.0,0.51,21.56
8,-0.8756567425569146,620.0261352499184,441.92318798729434,72.41379310344827,164.7058823529412,219.99999999999997,100.93945720250521,20.380364944744283,5.705705705705704,0.0,2021-04-09,Sungai Tengi,5.66,110.2,469.17,1.5,0.45,0.16,3.52,19.25,0.52,23.419999999999998
9,-3.3274956217162943,74.06076445606011,108.8940225238233,8.045977011494248,47.058823529411754,40.00000000000001,25.260960334029225,1.105114366486782,3.3033033033032995,9.615384615384603,2021-04-10,Sungai Tengi,5.52,26.64,180.85,0.94,0.25,0.07,3.44,12.0,0.57,19.67
10,-0.8756567425569146,44.65860829794185,58.15189142362115,21.839080459770123,23.52941176470587,0.0,23.486430062630482,-4.754561809303507,3.603603603603607,19.230769230769226,2021-04-11,Sungai Tengi,5.66,22.14,136.92,1.06,0.21,0.05,3.45,11.83,0.62,18.53
11,0.7005253940455347,28.520091473374727,59.00664164019638,25.287356321839088,-23.529411764705884,0.0,4.384133611691022,-9.483423284502694,5.105105105105103,-1.9230769230769247,2021-04-12,Sungai Tengi,5.75,19.67,137.66,1.09,0.13,0.05,3.5,10.0,0.51,17.61
12,-3.852889667250434,1514.047696831101,798.8391568004622,79.3103448275862,152.94117647058823,319.99999999999994,185.28183716075156,29.272680544847084,3.9039039039039007,-5.7692307692307745,2021-04-13,Sungai Tengi,5.49,247.03,778.17,1.56,0.43,0.21,3.46,27.33,0.49,25.15
13,-4.378283712784588,82.03201568114994,44.4989893156223,26.436781609195414,5.8823529411764595,60.0,23.173277661795414,8.45540992032898,4.204204204204208,-3.8461538461538494,2021-04-14,Sungai Tengi,5.46,27.86,125.1,1.1,0.18,0.08,3.47,11.8,0.5,21.1
14,-5.253940455341503,724.8938255472067,56.176725382616254,34.482758620689644,217.6470588235294,219.99999999999997,96.55532359081418,19.14674890773581,-1.8018018018018036,5.7692307692307745,2021-04-15,Sungai Tengi,5.41,126.25,135.21,1.17,0.54,0.16,3.27,18.83,0.55,23.18
15,-6.304728546409813,96.07971251225092,81.92318798729428,17.241379310344833,-5.8823529411764754,60.0,29.645093945720248,15.548702133127742,-4.204204204204208,1.9230769230769247,2021-04-16,Sungai Tengi,5.35,30.01,157.5,1.02,0.16,0.08,3.19,12.42,0.53,22.48
16,-5.4290718038528825,823.031688990526,283.63268842044477,66.66666666666666,264.7058823529411,319.99999999999994,102.71398747390398,26.291441788743263,-4.504504504504501,3.8461538461538494,2021-04-17,Sungai Tengi,5.4,141.27,332.13,1.45,0.62,0.21,3.18,19.42,0.54,24.57
17,-6.830122591943952,617.4126102580856,577.297141207046,33.33333333333333,276.4705882352941,480.0,73.27766179540711,35.85196607555899,-5.705705705705704,-3.8461538461538494,2021-04-18,Sungai Tengi,5.32,109.8,586.37,1.16,0.64,0.29,3.14,16.6,0.5,26.43
18,-7.880910683012263,236.09931394968964,188.95177591683515,-25.287356321839077,58.82352941176471,100.0,69.10229645093945,54.71601130814703,-6.606606606606611,11.538461538461526,2021-04-19,Sungai Tengi,5.26,51.44,250.16,0.65,0.27,0.1,3.11,16.2,0.58,30.1
19,-7.5306479859894875,28.846782097353802,-5.226682067571461,-33.333333333333336,-100.0,0.0,14.822546972860124,35.49216139809818,-6.006006006006012,111.53846153846155,2021-04-20,Sungai Tengi,5.28,19.72,82.05,0.58,0.0,0.05,3.13,11.0,1.1,26.36
20,-5.078809106830123,703.9856256125449,671.3427663875253,21.839080459770123,352.9411764705882,319.99999999999994,89.97912317327766,21.40837830891803,14.114114114114107,17.307692307692303,2021-04-21,Sungai Tengi,5.42,123.05,667.79,1.06,0.77,0.21,3.8,18.2,0.61,23.62
21,-8.406304728546402,261.77719699444623,239.28963326595442,-33.333333333333336,17.64705882352941,19.99999999999999,75.36534446764092,39.55281418658445,18.01801801801802,17.307692307692303,2021-04-22,Sungai Tengi,5.23,55.37,293.74,0.58,0.2,0.06,3.93,16.8,0.61,27.150000000000002
22,-5.604203152364278,16.563214635739957,16.10742131100203,-49.42528735632184,-23.529411764705884,400.0,15.866388308977031,23.464405037265493,-2.1021021021021107,17.307692307692303,2021-04-23,Sungai Tengi,5.39,17.84,100.52,0.44,0.13,0.25,3.26,11.1,0.61,24.02
23,-8.056042031523642,1.3394315583142768,-20.66993935893732,-14.942528735632186,-29.41176470588236,0.0,4.384133611691022,10.357234644050378,-2.1021021021021107,5.7692307692307745,2021-04-24,Sungai Tengi,5.25,15.51,68.68,0.74,0.12,0.05,3.26,10.0,0.55,21.47
24,-4.203152364273208,-7.873244037896113,-31.27346231591105,-2.2988505747126458,-23.529411764705884,0.0,4.384133611691022,14.058082755075832,-3.3033033033032995,5.7692307692307745,2021-04-25,Sungai Tengi,5.47,14.1,59.5,0.85,0.13,0.05,3.22,10.0,0.55,22.19
25,-6.304728546409813,574.3547860176413,360.25989026855336,14.942528735632186,170.58823529411765,0.0,55.42797494780793,17.75893086610127,-2.1021021021021107,-1.9230769230769247,2021-04-26,Sungai Tengi,5.35,103.21,398.47,1.0,0.46,0.05,3.26,14.89,0.51,22.91
26,-9.281961471103333,170.82652727866713,68.27028587929543,80.45977011494254,5.8823529411764595,199.99999999999997,62.421711899791234,28.398869185299404,-1.8018018018018036,-5.7692307692307745,2021-04-27,Sungai Tengi,5.18,41.45,145.68,1.57,0.18,0.15,3.27,15.56,0.49,24.979999999999997
27,-8.406304728546402,15.779157138190127,-4.914813745307532,-16.09195402298851,-11.764705882352951,40.00000000000001,-14.196242171189974,20.945772295039852,-0.30030030030030724,0.0,2021-04-28,Sungai Tengi,5.23,17.72,82.32,0.73,0.15,0.07,3.32,8.22,0.52,23.53
28,-6.479859894921193,-5.129042796471742,-23.338146116084303,1.1494252873563229,-23.529411764705884,19.99999999999999,4.384133611691022,17.450526856849137,-2.1021021021021107,5.7692307692307745,2021-04-29,Sungai Tengi,5.34,14.52,66.37,0.88,0.13,0.06,3.26,10.0,0.55,22.849999999999998
29,-5.4290718038528825,-10.160078405749754,-14.952353450765226,2.2988505747126458,-11.764705882352951,19.99999999999999,-7.202505219206675,15.754304805962486,-2.1021021021021107,5.7692307692307745,2021-04-30,Sungai Tengi,5.4,13.75,73.63,0.89,0.15,0.06,3.26,8.89,0.55,22.52
30,0.8756567425569146,96.07971251225092,157.44152468957554,60.91954022988505,17.64705882352941,79.99999999999999,30.48016701461378,16.26831148804936,23.423423423423433,7.692307692307699,2021-08-01,Sungai Tengi,5.76,30.01,222.88,1.4,0.2,0.09,4.11,12.5,0.56,22.62
31,5.078809106830123,13.884351519111402,51.98382904995672,25.287356321839088,47.058823529411754,0.0,6.993736951983298,4.703161141094848,23.423423423423433,7.692307692307699,2021-08-02,Sungai Tengi,6.0,17.43,131.58,1.09,0.25,0.05,4.11,10.25,0.56,20.37
32,5.604203152364278,-14.080365893498852,11.90297429974012,6.896551724137938,-35.294117647058826,-40.00000000000001,2.6096033402922756,-3.4181444358776627,23.423423423423433,7.692307692307699,2021-08-03,Sungai Tengi,6.03,13.15,96.88,0.93,0.11,0.03,4.11,9.83,0.56,18.79
33,-0.8756567425569146,335.0212348905586,242.6739820964482,105.74712643678161,-23.529411764705884,380.0,93.9457202505219,28.707273194551554,23.423423423423433,7.692307692307699,2021-08-04,Sungai Tengi,5.66,66.58,296.67,1.79,0.13,0.24,4.11,18.58,0.56,25.040000000000003
34,2.451838879159364,88.82718065991504,101.94051400519784,20.689655172413797,11.764705882352935,19.99999999999999,33.08977035490605,3.8293497815471658,23.423423423423433,7.692307692307699,2021-08-05,Sungai Tengi,5.85,28.9,174.83,1.05,0.19,0.06,4.11,12.75,0.56,20.2
35,4.028021015761829,-27.34400522704999,-6.924631822119539,21.839080459770123,-41.1764705882353,-20.000000000000004,14.822546972860124,-3.880750449755842,14.714714714714708,7.692307692307699,2021-08-06,Sungai Tengi,5.94,11.12,80.58,1.06,0.1,0.04,3.82,11.0,0.56,18.7
36,2.2767075306479843,-2.123489055864092,43.95610742131101,2.2988505747126458,11.764705882352935,-40.00000000000001,4.384133611691022,-8.661012593163706,5.705705705705704,7.692307692307699,2021-08-07,Sungai Tengi,5.84,14.98,124.63,0.89,0.19,0.03,3.52,10.0,0.56,17.77
37,8.231173380035022,35.05390395295656,88.3915680046203,5.747126436781615,17.64705882352941,-20.000000000000004,8.559498956158667,-1.464919043947554,5.705705705705704,7.692307692307699,2021-08-08,Sungai Tengi,6.18,20.67,163.1,0.92,0.2,0.04,3.52,10.4,0.56,19.17
38,4.5534150612959685,480.52923881084604,528.5879295408606,58.6206896551724,270.5882352941176,260.0,67.01461377870564,16.525314829092796,5.705705705705704,7.692307692307699,2021-08-09,Sungai Tengi,5.97,88.85,544.2,1.38,0.63,0.18,3.52,16.0,0.56,22.67
39,3.1523642732048986,101.89480561907874,159.0817210511118,17.241379310344833,-100.0,60.0,31.524008350730686,14.983294782832173,5.705705705705704,7.692307692307699,2021-08-10,Sungai Tengi,5.89,30.9,224.3,1.02,0.0,0.08,3.52,12.6,0.56,22.369999999999997
40,2.451838879159364,182.52205161711862,255.7031475599192,13.793103448275861,-5.8823529411764754,1099.9999999999998,37.78705636743214,12.413261372397837,5.705705705705704,7.692307692307699,2021-08-11,Sungai Tengi,5.85,43.24,307.95,0.99,0.16,0.6,3.52,13.2,0.56,21.869999999999997
41,5.4290718038528825,-17.543286507677234,37.1643084031187,13.793103448275861,-11.764705882352951,19.99999999999999,18.99791231732777,1.6191210485736383,5.705705705705704,7.692307692307699,2021-08-12,Sungai Tengi,6.02,12.62,118.75,0.99,0.15,0.06,3.52,11.4,0.56,19.77
42,5.954465849387038,17.34727213328978,62.86456829338726,8.045977011494248,100.0,40.00000000000001,9.603340292275574,-4.548959136468764,5.705705705705704,7.692307692307699,2021-08-13,Sungai Tengi,6.05,17.96,141.0,0.94,0.34,0.07,3.52,10.5,0.56,18.57
43,5.954465849387038,-22.37830774256778,22.725960150158837,9.19540229885057,-58.82352941176471,-40.00000000000001,-0.835073068893529,-11.231046003598042,5.705705705705704,7.692307692307699,2021-08-14,Sungai Tengi,6.05,11.88,106.25,0.95,0.07,0.03,3.52,9.5,0.56,17.27
44,0.0,551.09441359033,243.96765809991345,22.988505747126446,264.7058823529411,180.0,83.50730688935279,16.62811616551015,-6.306306306306306,7.692307692307699,2021-08-15,Sungai Tengi,5.71,99.65,297.79,1.07,0.62,0.14,3.12,17.58,0.56,22.689999999999998
45,-4.5534150612959685,502.7442012414244,313.8492636442392,5.747126436781615,311.76470588235287,240.0,86.11691022964507,28.60447185813417,-6.306306306306306,7.692307692307699,2021-08-16,Sungai Tengi,5.45,92.25,358.29,0.92,0.7,0.17,3.12,17.83,0.56,25.02
46,-8.056042031523642,483.3387781770663,376.072769275195,-36.78160919540229,129.41176470588235,100.0,101.46137787056368,40.16962220508869,-6.306306306306306,7.692307692307699,2021-08-17,Sungai Tengi,5.25,89.28,412.16,0.55,0.39,0.1,3.12,19.3,0.56,27.270000000000003
47,-7.005253940455347,1107.5138843515192,587.9468668784292,49.425287356321846,635.2941176470588,480.0,124.4258872651357,42.63685427910564,0.0,7.692307692307699,2021-08-18,Sungai Tengi,5.31,184.81,595.59,1.3,1.25,0.29,3.33,21.5,0.56,27.75
48,-12.25919439579685,236.62201894805622,282.4429685244009,-42.5287356321839,70.58823529411762,139.99999999999997,71.18997912317326,39.809817527627864,0.0,0.0,2021-08-19,Sungai Tengi,5.01,51.52,331.1,0.5,0.29,0.12,3.33,16.4,0.52,27.2
49,-8.931698774080557,571.8065991506043,528.2183078255848,-18.390804597701152,129.41176470588235,139.99999999999997,87.89144050104383,31.791313287072747,0.0,7.692307692307699,2021-08-20,Sungai Tengi,5.2,102.82,543.88,0.71,0.39,0.12,3.33,18.0,0.56,25.64
50,-8.581436077057797,68.83371447239465,93.56627201848113,-49.42528735632184,23.52941176470587,139.99999999999997,29.43632567849687,21.305576972500642,0.0,7.692307692307699,2021-08-21,Sungai Tengi,5.22,25.84,167.58,0.44,0.21,0.12,3.33,12.4,0.56,23.599999999999998
51,-11.033274956217161,145.73668735707287,192.65954374819526,-25.287356321839077,647.0588235294118,60.0,-1.8789144050104356,9.997429966589568,0.0,7.692307692307699,2021-08-22,Sungai Tengi,5.08,37.61,253.37,0.65,1.27,0.08,3.33,9.4,0.56,21.4
52,-10.507880910683006,599.0525971904607,627.5079410915394,64.36781609195403,76.4705882352941,520.0,106.68058455114824,45.97789771267027,0.0,7.692307692307699,2021-08-23,Sungai Tengi,5.11,106.99,629.84,1.43,0.3,0.31,3.33,19.8,0.56,28.4
53,-9.982486865148866,121.36556680823263,155.20069304071617,-44.827586206896555,-47.05882352941177,139.99999999999997,17.432150313152402,37.75379079928041,0.0,7.692307692307699,2021-08-24,Sungai Tengi,5.14,33.88,220.94,0.48,0.09,0.12,3.33,11.25,0.56,26.8
54,-16.637478108581437,104.63900686050312,34.73866589662145,-60.91954022988506,-23.529411764705884,0.0,33.08977035490605,28.8614751991776,0.0,21.15384615384615,2021-08-25,Sungai Tengi,4.76,31.32,116.65,0.34,0.13,0.05,3.33,12.75,0.63,25.07
55,-18.03852889667251,-33.35511270826528,-21.17816921744152,-56.32183908045977,-52.94117647058824,0.0,-6.05427974947808,27.473657157543062,0.0,7.692307692307699,2021-08-26,Sungai Tengi,4.68,10.2,68.24,0.38,0.08,0.05,3.33,9.0,0.56,24.8
56,-8.406304728546402,-31.786997713165633,-25.636731157955527,-39.08045977011494,11.764705882352935,-20.000000000000004,-15.553235908141966,5.165767154973029,-1.5015015015015094,7.692307692307699,2021-08-27,Sungai Tengi,5.23,10.44,64.38,0.53,0.19,0.04,3.28,8.09,0.56,20.46
57,-5.253940455341503,-33.093760209082,-12.59601501588217,-22.988505747126432,-17.64705882352941,-20.000000000000004,4.384133611691022,17.861732202518642,0.0,11.538461538461526,2021-08-28,Sungai Tengi,5.41,10.24,75.67,0.67,0.14,0.04,3.33,10.0,0.58,22.93
58,-4.028021015761813,450.01633453119894,429.93358359803653,6.896551724137938,111.76470588235293,120.0,108.76826722338204,33.641737342585465,0.0,7.692307692307699,2021-08-29,Sungai Tengi,5.48,84.18,458.79,0.93,0.36,0.11,3.33,20.0,0.56,26.0
59,-10.507880910683006,-15.583142763802677,15.07941091539129,-26.436781609195396,-47.05882352941177,40.00000000000001,-7.098121085594987,11.539450012850173,0.0,7.692307692307699,2021-08-30,Sungai Tengi,5.11,12.92,99.63,0.64,0.09,0.07,3.33,8.9,0.56,21.7
60,-10.332749562171626,-22.770336491342697,-1.6921744152468836,-26.436781609195396,-70.58823529411765,19.99999999999999,-17.640918580375786,-2.3387304034952368,0.0,7.692307692307699,2021-08-31,Sungai Tengi,5.12,11.82,85.11,0.64,0.05,0.06,3.33,7.89,0.56,19.0
61,1.2259194395796897,-15.97517151257759,-93.98209644816635,2.2988505747126458,-41.1764705882353,-20.000000000000004,-45.19832985386221,-22.28218966846568,7.8078078078078015,-1.9230769230769247,2021-02-01,Sungai Tengi,5.78,12.86,5.21,0.89,0.1,0.04,3.59,5.25,0.51,15.120000000000001
62,1.9264448336252245,-19.76478275073506,-93.40456251804794,1.1494252873563229,-23.529411764705884,-40.00000000000001,-47.80793319415449,-32.20251863274221,12.01201201201201,-5.7692307692307745,2021-02-02,Sungai Tengi,5.82,12.28,5.71,0.88,0.13,0.03,3.73,5.0,0.49,13.190000000000001
63,1.5761821366024493,156.58281607317872,-90.47069015304649,93.10344827586206,194.11764705882348,120.0,1.7745302713987468,-15.80570547417116,10.210210210210207,-1.9230769230769247,2021-02-03,Sungai Tengi,5.8,39.27,8.25,1.68,0.5,0.11,3.67,9.75,0.51,16.38
64,1.0507880910682945,43.351845802025494,-93.88969101934738,11.494252873563216,-29.41176470588236,60.0,0.9394572025052178,-12.567463377023905,11.711711711711716,0.0,2021-02-04,Sungai Tengi,5.77,21.94,5.29,0.97,0.12,0.08,3.72,9.67,0.52,17.009999999999998
65,1.9264448336252245,-40.934335184580206,-97.68986427952642,-25.287356321839077,23.52941176470587,-60.0,-47.80793319415449,-31.277306604985856,12.01201201201201,7.692307692307699,2021-02-05,Sungai Tengi,5.82,9.04,2.0,0.65,0.21,0.02,3.73,5.0,0.56,13.370000000000001
66,2.2767075306479843,116.46520744854625,-93.0233901241698,2.2988505747126458,111.76470588235293,0.0,4.384133611691022,-3.006939090208159,12.01201201201201,7.692307692307699,2021-02-06,Sungai Tengi,5.84,33.13,6.04,0.89,0.36,0.05,3.73,10.0,0.56,18.87
67,1.5761821366024493,51.976478275073525,-94.70978920011551,5.747126436781615,82.35294117647058,0.0,35.699373695198325,1.4649190439475905,-8.408408408408416,1.9230769230769247,2021-02-07,Sungai Tengi,5.8,23.26,4.58,0.92,0.31,0.05,3.05,13.0,0.53,19.740000000000002
68,-2.451838879159364,513.8516824567135,279.6361536240255,25.287356321839088,23.52941176470587,19.99999999999999,93.1106471816284,26.03443844769983,-7.5075075075075075,-1.9230769230769247,2021-02-08,Sungai Tengi,5.57,93.95,328.67,1.09,0.21,0.06,3.08,18.5,0.51,24.52
69,-4.5534150612959685,61.25449199607972,134.14380594859952,-14.942528735632186,0.0,40.00000000000001,46.13778705636743,7.478797224363927,-8.408408408408416,-5.7692307692307745,2021-02-09,Sungai Tengi,5.45,24.68,202.71,0.74,0.17,0.07,3.05,14.0,0.49,20.91
70,-1.4010507880910694,-4.410323423717733,-23.90412936760034,-22.988505747126432,-23.529411764705884,-20.000000000000004,-6.05427974947808,-9.997429966589568,-1.2012012012012023,3.8461538461538494,2021-02-10,Sungai Tengi,5.63,14.63,65.88,0.67,0.13,0.04,3.29,9.0,0.54,17.509999999999998
71,0.0,-13.949689643907218,-31.654634709789185,-4.5977011494252915,-11.764705882352951,-60.0,-30.37578288100209,-32.253919300950905,7.8078078078078015,7.692307692307699,2021-02-11,Sungai Tengi,5.71,13.17,59.17,0.83,0.15,0.02,3.59,6.67,0.56,13.18
72,1.4010507880910694,-0.8167265599477296,-23.961882760612177,-6.896551724137924,58.82352941176471,-40.00000000000001,-33.92484342379959,-36.62297609868928,-3.3033033033032995,0.0,2021-02-12,Sungai Tengi,5.79,15.18,65.83,0.81,0.27,0.03,3.22,6.33,0.52,12.33
73,1.4010507880910694,-5.978438418817374,-18.509962460294535,13.793103448275861,23.52941176470587,0.0,-8.141962421711893,-20.123361603700847,-0.6006006006006012,3.8461538461538494,2021-02-13,Sungai Tengi,5.79,14.39,70.55,0.99,0.21,0.05,3.31,8.8,0.54,15.54
74,2.2767075306479843,-24.795818360013065,-38.49263644239098,19.540229885057474,-41.1764705882353,0.0,-29.540709812108563,-27.833461835003853,-8.108108108108109,-1.9230769230769247,2021-02-14,Sungai Tengi,5.84,11.51,53.25,1.04,0.1,0.05,3.06,6.75,0.51,14.04
75,2.626970227670759,-24.207775236850704,-38.25007219174126,16.09195402298851,-23.529411764705884,0.0,-16.49269311064718,-23.567206373682847,-8.108108108108109,-1.9230769230769247,2021-02-15,Sungai Tengi,5.86,11.6,53.46,1.01,0.13,0.05,3.06,8.0,0.51,14.870000000000001
76,3.3274956217162943,-17.412610258085586,-28.431995379728548,24.13793103448277,-17.64705882352941,-20.000000000000004,-16.49269311064718,-23.567206373682847,-8.108108108108109,-1.9230769230769247,2021-02-16,Sungai Tengi,5.9,12.64,61.96,1.08,0.14,0.04,3.06,8.0,0.51,14.870000000000001
77,3.6777583187390537,7.807905913100297,-34.207334680912496,10.344827586206893,-29.41176470588236,0.0,-16.49269311064718,-23.567206373682847,-8.108108108108109,0.0,2021-02-17,Sungai Tengi,5.92,16.5,56.96,0.96,0.12,0.05,3.06,8.0,0.52,14.870000000000001
78,4.203152364273208,-13.819013394315585,-16.349985561651735,12.643678160919539,0.0,-20.000000000000004,-16.49269311064718,-23.001799023387296,-6.306306306306306,11.538461538461526,2021-02-18,Sungai Tengi,5.95,13.19,72.42,0.98,0.17,0.04,3.12,8.0,0.58,14.98
79,5.253940455341503,-23.881084612871607,-19.283857926653187,17.241379310344833,-23.529411764705884,0.0,-16.49269311064718,-23.001799023387296,-6.306306306306306,11.538461538461526,2021-02-19,Sungai Tengi,6.01,11.65,69.88,1.02,0.13,0.05,3.12,8.0,0.58,14.98
80,6.479859894921193,-24.01176086246324,-27.427086341322543,17.241379310344833,-17.64705882352941,-40.00000000000001,-30.37578288100209,-34.258545361089695,0.30030030030029387,1.9230769230769247,2021-02-20,Sungai Tengi,6.08,11.63,62.83,1.02,0.14,0.03,3.34,6.67,0.53,12.79
