Month,WTP,New WTP,SIpH,SIDO,SISS,SIBOD,SICOD,SIAN,WQI
1/31/2021,Bernam River Headworks,Bernam River Headworks (New),99.35,81.1963648,60.77251842,95.6201,81.677,53.54562921,78.8
1/31/2021,Rantau Panjang,Rantau Panjang New,97.828693,94.0551414,45.41001156,93.4628,86.066,82.74593147,83.6
1/31/2021,North Hummock,North Hummock,69.964888,44.5128608,91.06289964,93.5897,75.559,77.4,74.2
1/31/2021,Batang Kali,Batang Kali,99.242468,100,95.09892502,96.3815,90.987,80.55,94.1
1/31/2021,Kuala Kubu Bharu,Kuala Kubu Bharu,93.832453,100,94.50957173,93.8435,94.445,90,94.8
1/31/2021,Kalumpang,Kalumpang,96.9425,100,95.69261497,89.7827,94.711,92.1,95
1/31/2021,Sungai Selisek,Sungai Selisek,99.160048,82.8402,77.31244979,96.7622,89.657,91.05,88.9
1/31/2021,Sungai Dusun,Sungai Dusun,99.24832,97.1711714,96.29067101,98.0735,59.93182753,83.7,89.5
1/31/2021,Sungai Tengi,Sungai Tengi,95.9968,100,89.39578585,98.5388,93.514,85.8,94.4
1/31/2021,Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,96.764032,72.5161376,87.76515196,93.209,86.332,78.45,84.9
1/31/2021,Sungai Sireh,Sungai Sireh,84.042052,90.0542742,72.4582,94.0973,46.79979058,81.6,79.1
1/31/2021,Sungai Langat,Sungai Langat,98.371813,86.3802704,70.38146615,96.17,88.46,88.95,87.8
1/31/2021,Bukit Tampoi,Bukit Tampoi New,93.446692,89.7744768,57.45202563,93.0821,83.938,77.17911705,82.8
1/31/2021,Cheras Batu 11,Cheras Batu 11,97.679573,68.1049248,64.96985464,96.2123,92.317,73.2,81.1
1/31/2021,Salak Tinggi,Salak Tinggi,94.9177,18.7346,71.2027333,95.8739,82.608,88.95,71.7
1/31/2021,Sungai Pangsoon,Sungai Pangsoon,99.026413,100,97.5,97.6505,96.839,90,97
1/31/2021,Sungai Lolo,Sungai Lolo - Baru,98.784155,90.3307344,96.29067101,93.209,85.002,92.1,92.3
1/31/2021,Sungai Serai,Sungai Serai,98.287955,97.1711714,97.5,97.5236,94.445,87.9,95.6
1/31/2021,Bukit Nanas,Bukit Nanas,92.499893,0,96.29067101,96.9737,90.322,78.08338538,71.1
1/31/2021,Sungai Batu,Sungai Batu,98.98688,100,96.29067101,96.7199,89.391,82.65,94.4
1/31/2021,Sungai Gombak,Sungai Gombak,94.33502,100,95.09892502,94.7741,94.312,77.4,93.2
1/31/2021,Ampang Intake,Ampang Intake,85.954595,96.6960416,55.71669961,96.3392,90.056,83.7,85.8
1/31/2021,Sungai Rangkap,Sungai Rangkap,93.832453,100,93.9245259,94.7318,90.455,73.2,91.7
1/31/2021,Kepong,Kepong,95.499755,100,96.29067101,97.2698,92.051,90,95.6
1/31/2021,Sungai Rumput,Sungai Rumput,90.562555,100,93.9245259,96.3392,88.726,87.9,93.6
1/31/2021,Wangsa Maju,Wangsa Maju,99.518788,6.067725,96.29067101,95.7047,90.189,79.91983869,73.3
1/31/2021,Sungai Semenyih,Sungai Semenyih,98.178148,54.0996,51.94894928,95.5778,73.47231224,80.85223858,74
1/31/2021,Sungai Labu,Sungai Labu,99.160048,40.9440224,96.89312275,95.7047,90.189,73.2,80
1/31/2021,Semenyih 2,Semenyih 2,98.930653,22.0928114,95.69261497,94.8587,82.608,85.66038147,76.1
1/31/2021,Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,96.764032,93.0634832,58.33416685,92.9129,82.741,85.16837405,85.1
1/31/2021,Rasa,Rasa,99.425173,90.603825,92.76724071,94.3088,91.785,75.3,90.6
1/31/2021,Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,96.580228,79.1291342,63.883794,91.8977,87.13,87.9,83.8
1/31/2021,Langat 2,Langat 2,96.580228,100,78.23894962,97.3967,87.396,95.25,92.9
1/31/2021,Labohan Dagang,Labohan Dagang,96.196612,83.98,97.5,93.4628,85.933,92.1,90.9
1/31/2022,Sungai Sireh,Sungai Sireh,,,,,,,69.4
1/31/2022,Bernam River Headworks,Bernam River Headworks,,,,,,,83.4
1/31/2022,RANTAU PANJANG,Rantau Panjang New,,,,,,,81
1/31/2022,North Hummock,North Hummock,,,,,,,75.9
1/31/2022,Batang Kali,Batang Kali,,,,,,,92.1
1/31/2022,Kuala Kubu Baru,Kuala Kubu Bharu,,,,,,,94.8
1/31/2022,Kalumpang,Kalumpang,,,,,,,94.3
1/31/2022,Sungai Selisek,Sungai Selisek,,,,,,,84.3
1/31/2022,Sungai Dusun,Sungai Dusun,,,,,,,89.2
1/31/2022,Sungai Tengi,Sungai Tengi,,,,,,,91.3
1/31/2022,Wangsa Maju,Wangsa Maju,,,,,,,73.7
1/31/2022,Bukit Nanas,Bukit Nanas,,,,,,,77.6
1/31/2022,Sungai Batu,Sungai Batu,,,,,,,73.4
1/31/2022,Sungai Gombak,Sungai Gombak,,,,,,,95.5
1/31/2022,Ampang Intake,Ampang Intake,,,,,,,94.4
1/31/2022,Sungai Rangkap,Sungai Rangkap,,,,,,,92.7
1/31/2022,Kepong,Kepong,,,,,,,94.9
1/31/2022,Sungai Rumput,Sungai Rumput,,,,,,,92.6
1/31/2022,Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,,,,,,,81.9
1/31/2022,Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,,,,,,,75.4
1/31/2022,Rasa,Rasa,,,,,,,84.5
1/31/2022,Bukit Tampoi,Bukit Tampoi,,,,,,,91.9
1/31/2022,Salak Tinggi,Salak Tinggi,,,,,,,79.4
1/31/2022,Sungai Semenyih,Sungai Semenyih,,,,,,,81.6
1/31/2022,Sungai Labu,Sungai Labu,,,,,,,88
1/31/2022,Semenyih 2,Semenyih 2,,,,,,,88.4
1/31/2022,Labohan Dagang,Labohan Dagang,,,,,,,88.7
1/31/2022,Sungai Langat,Sungai Langat,,,,,,,91.3
1/31/2022,Cheras Batu 11,Cheras Batu 11,,,,,,,91
1/31/2022,Sungai Pangsoon,Sungai Pangsoon,,,,,,,93.9
1/31/2022,Sungai Lolo,Sungai Lolo,,,,,,,92.3
1/31/2022,Sungai Serai,Sungai Serai,,,,,,,92.9
1/31/2022,Langat 2,Langat 2,,,,,,,92.9
1/31/2022,Intake Semantan (Langat 2),Intake Semantan (Langat 2),,,,,,,90.4
10/31/2021,BERNAM RIVER HEADWORKS,Bernam River Headworks (New),97.7548,92.9046624,76.39973485,92.9552,90.189,82.74593147,88.9
10/31/2021,RANTAU PANJANG,Rantau Panjang New,98.287955,90.603825,83.58961808,94.6049,87.529,72.79316921,88
10/31/2021,NORTH HUMMOCK,North Hummock,87.5212,6.6278944,95.69261497,89.2751,74.096,77.6300991,67.7
10/31/2021,BATANG KALI,Batang Kali,98.777008,83.2996432,96.89312275,93.9281,90.987,81.79423265,90.4
10/31/2021,KUALA KUBU BARU,Kuala Kubu Bharu,99.116837,100,96.89312275,94.6049,97.105,92.1,96.7
10/31/2021,KALUMPANG,Kalumpang,98.4337,100,96.89312275,94.055,96.174,87.9,95.8
10/31/2021,SELISEK,Sungai Selisek,98.042368,89.5861072,91.06289964,97.9043,92.716,74.0856644,90.6
10/31/2021,SG DUSUN,Sungai Dusun,96.853933,100,96.89312275,98.1581,93.913,75.3,94.1
10/31/2021,SG TENGI,Sungai Tengi,97.828693,100,94.50957173,93.3359,88.992,81.6,93.1
10/31/2021,SG BUAYA,Unknown,,,,,,,
1/31/2022,Sungai Selangor Fasa 2 Stream C,Sungai Selangor Fasa 2 Stream C,,,,,,,82.3
10/31/2021,SG SIREH,Sungai Sireh,94.9177,68.3855696,84.61040919,96.0854,48.18530554,87.15170205,79
10/31/2021,SG LANGAT,Sungai Langat,98.371813,86.9042134,83.08487939,87.1178,91.12,78.08338538,87.1
10/31/2021,BUKIT TAMPOI,Bukit Tampoi New,98.110925,16.3698,72.88305864,91.7708,84.47,17.0061847,60.5
10/31/2021,CHERAS MILE 11,Cheras Batu 11,98.494253,61.5026,88.30468878,87.71,88.194,71.10007401,80.9
10/31/2021,SALAK TINGGI,Salak Tinggi,97.972477,13.6849488,78.23894962,85.3412,84.47,68.62362696,67.3
10/31/2021,SG PANGSOON,Sungai Pangsoon,96.431555,100,96.89312275,92.0669,85.268,92.1,94
10/31/2021,SG LOLO,Sungai Lolo - Baru,99.600397,97.068975,96.29067101,91.2632,95.11,90,94.8
10/31/2021,SG SERAI,Sungai Serai,99.0595,100,96.89312275,94.0973,95.11,87.9,95.7
10/31/2021,BUKIT NANAS,Bukit Nanas,92.777077,2.6248272,94.50957173,93.209,93.647,80.55,71.6
10/31/2021,SG BATU,Sungai Batu,98.371813,77.6259254,96.89312275,91.517,88.327,86.65203084,88.9
10/31/2021,GOMBAK,Sungai Gombak,98.868875,100,95.09892502,92.8283,95.11,73.2,92.9
10/31/2021,AMPANG INTAKE,Ampang Intake,97.242355,100,89.94740053,94.055,96.839,75.3,92.7
10/31/2021,SG RANGKAP,Sungai Rangkap,94.446955,100,96.89312275,91.0517,94.711,79.5,93.2
10/31/2021,KEPONG,Kepong,97.389995,100,96.29067101,89.6558,93.647,85.8,94
10/31/2021,SG RUMPUT,Sungai Rumput,92.769755,100,95.09892502,89.7827,93.514,81.6,92.6
10/31/2021,WANGSA MAJU,Wangsa Maju,97.60238,22.4768,96.89312275,92.786,91.785,78.53898913,76.3
10/31/2021,SG SEMENYIH,Sungai Semenyih,95.687077,29.5692706,79.17942196,90.671,84.337,73.2,72.4
10/31/2021,SG LABU,Sungai Labu,94.567957,47.355675,96.89312275,86.8217,86.465,85.8,80.5
10/31/2021,SEMENYIH 2,Semenyih 2,98.930653,46.9061664,96.29067101,79.25,79.017,88.95,78.6
10/31/2021,SSP 1,Sungai Selangor Fasa 1,94.667195,65.9814738,81.10304756,95.324,90.056,86.15492887,84.3
10/31/2021,RASA,Rasa,99.201925,85.0898,87.76515196,98.2427,94.312,92.1,92.2
10/31/2021,SSP 3 BKT BDG,Sungai Selangor Fasa 3 Stage 1,97.31678,71.0196954,79.17942196,95.4509,87.928,72.15,83
10/31/2021,LANGAT 2,Langat 2,99.30158,100,92.19494389,90.0365,93.381,82.65,93.1
10/31/2021,LABOHAN DAGANG,Labohan Dagang,97.115632,94.4174144,96.89312275,97.3544,86.332,87.9,93.4
10/31/2022,Sungai Sireh,Sungai Sireh,,,,,,,80.4
10/31/2022,Bernam River Headworks,Bernam River Headworks,,,,,,,86.8
10/31/2022,RANTAU PANJANG,Rantau Panjang New,,,,,,,78.9
10/31/2022,North Hummock,North Hummock,,,,,,,84.8
10/31/2022,Batang Kali,Batang Kali,,,,,,,81.4
10/31/2022,Kuala Kubu Baru,Kuala Kubu Bharu,,,,,,,95.5
10/31/2022,Kalumpang,Kalumpang,,,,,,,92.4
10/31/2022,Sungai Selisek,Sungai Selisek,,,,,,,90.8
10/31/2022,Sungai Dusun,Sungai Dusun,,,,,,,94.8
10/31/2022,Sungai Tengi,Sungai Tengi,,,,,,,90.7
10/31/2022,Wangsa Maju,Wangsa Maju,,,,,,,75.6
10/31/2022,Bukit Nanas,Bukit Nanas,,,,,,,75
10/31/2022,Sungai Batu,Sungai Batu,,,,,,,84.7
10/31/2022,Sungai Gombak,Sungai Gombak,,,,,,,93.7
10/31/2022,Ampang Intake,Ampang Intake,,,,,,,94.9
10/31/2022,Sungai Rangkap,Sungai Rangkap,,,,,,,95.7
10/31/2022,Kepong,Kepong,,,,,,,94.3
10/31/2022,Sungai Rumput,Sungai Rumput,,,,,,,93.8
10/31/2022,Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,,,,,,,82.2
1/31/2022,Sungai Selangor Fasa 2 Stream C,Sungai Selangor Fasa 2 Stream D,,,,,,,82.3
10/31/2022,Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,,,,,,,77
10/31/2022,Rasa,Rasa,,,,,,,91.5
10/31/2022,Bukit Tampoi,Bukit Tampoi,,,,,,,83.7
10/31/2022,Salak Tinggi,Salak Tinggi,,,,,,,76
10/31/2022,Sungai Semenyih,Sungai Semenyih,,,,,,,81
10/31/2022,Sungai Labu,Sungai Labu,,,,,,,86.8
10/31/2022,Semenyih 2,Semenyih 2,,,,,,,91
10/31/2022,Labohan Dagang,Labohan Dagang,,,,,,,87.2
10/31/2022,Sungai Langat,Sungai Langat,,,,,,,91.3
10/31/2022,Cheras Batu 11,Cheras Batu 11,,,,,,,89.2
10/31/2022,Sungai Pangsoon,Sungai Pangsoon,,,,,,,93.9
10/31/2022,Sungai Lolo,Sungai Lolo,,,,,,,89.7
10/31/2022,Sungai Serai,Sungai Serai,,,,,,,90.9
10/31/2022,Langat 2,Langat 2,,,,,,,87.9
10/31/2022,Intake Semantan (Langat 2),Intake Semantan (Langat 2),,,,,,,86.7
11/30/2021,BERNAM RIVER HEADWORKS,Bernam River Headworks (New),93.832453,74.1224,68.38206167,95.1125,85.002,78.08338538,81.9
11/30/2021,RANTAU PANJANG,Rantau Panjang New,98.648,87.1114722,57.25405397,97.6505,90.056,73.65264843,84.2
11/30/2021,NORTH HUMMOCK,North Hummock,89.098693,24.9550422,95.09892502,97.7351,76.756,86.65203084,75.2
11/30/2021,BATANG KALI,Batang Kali,98.042368,79.7449312,91.06289964,88.5137,90.721,90,88.7
11/30/2021,KUALA KUBU BARU,Kuala Kubu Bharu,97.525117,100,96.29067101,97.9043,92.45,92.1,96.3
11/30/2021,KALUMPANG,Kalumpang,98.9792,100,96.89312275,95.747,93.514,94.2,96.7
11/30/2021,SELISEK,Sungai Selisek,97.901252,95.1759766,74.61492163,99.2579,94.179,75.3,89.8
11/30/2021,SG DUSUN,Sungai Dusun,98.4337,96.3577424,94.50957173,97.4813,90.854,85.8,94.1
11/30/2021,SG TENGI,Sungai Tengi,97.901252,100,94.50957173,97.3967,95.908,87.9,95.9
11/30/2021,SG BUAYA,Unknown,,,,,,,
10/31/2021,SSP2,Sungai Selangor Fasa 2 Stream C,98.90942,59.4475008,92.19494389,96.2123,88.992,77.4,83.8
11/30/2021,SG SIREH,Sungai Sireh,99.319552,75.6992864,65.33747683,97.7774,49.43738311,83.7074469,78.1
11/30/2021,SG LANGAT,Sungai Langat,98.880772,78.3819146,85.12651283,97.5236,92.583,82.74593147,88.5
11/30/2021,BUKIT TAMPOI,Bukit Tampoi New,98.178148,83.413775,73.74246054,79.7576,88.061,75.83986493,82.6
11/30/2021,CHERAS MILE 11,Cheras Batu 11,97.972477,29.7080912,72.88305864,94.6895,87.396,50.94140827,69.6
11/30/2021,SALAK TINGGI,Salak Tinggi,96.9425,2.0896832,58.81589868,89.2328,85.667,80.38484623,64.2
11/30/2021,SG PANGSOON,Sungai Pangsoon,99.574528,100,96.29067101,91.2632,86.199,87.9,93.7
11/30/2021,SG LOLO,Sungai Lolo - Baru,99.159355,100,96.89312275,95.8316,88.859,92.1,95.6
11/30/2021,SG SERAI,Sungai Serai,97.603012,100,96.29067101,98.2427,97.504,81.6,95.6
11/30/2021,BUKIT NANAS,Bukit Nanas,94.9177,2.0388286,96.29067101,92.4053,94.977,73.22182087,71
11/30/2021,SG BATU,Sungai Batu,98.494253,83.7544016,96.29067101,92.5745,86.066,81.79423265,89.3
11/30/2021,GOMBAK,Sungai Gombak,98.73998,100,96.29067101,94.055,86.332,87.9,94.1
11/30/2021,AMPANG INTAKE,Ampang Intake,95.19662,100,85.12651283,96.593,94.179,77.4,92.1
11/30/2021,SG RANGKAP,Sungai Rangkap,96.603395,100,95.69261497,97.9043,96.573,81.6,95.2
11/30/2021,KEPONG,Kepong,93.757195,100,96.29067101,93.9704,89.391,81.6,93.1
11/30/2021,SG RUMPUT,Sungai Rumput,94.667195,100,94.50957173,94.8587,90.189,90,94.4
11/30/2021,WANGSA MAJU,Wangsa Maju,97.7548,25.4864926,95.69261497,93.2936,90.987,81.79423265,77.2
11/30/2021,SG SEMENYIH,Sungai Semenyih,98.930653,67.4006878,57.56176063,91.0517,91.386,93.15,81.8
11/30/2021,SG LABU,Sungai Labu,98.930653,50.8048976,95.69261497,86.6948,88.194,78.45,80.7
11/30/2021,SEMENYIH 2,Semenyih 2,99.35,26.9642832,94.50957173,86.7371,91.386,69,74.4
11/30/2021,SSP 1,Sungai Selangor Fasa 1,97.86862,53.2022352,73.31113821,98.4119,90.056,69,78.6
11/30/2021,RASA,Rasa,95.255437,47.2058192,96.29067101,95.0702,95.642,93.15,84.6
11/30/2021,SSP 3 BKT BDG,Sungai Selangor Fasa 3 Stage 1,96.770395,60.4771966,65.70793171,99.554,87.662,83.7,80.9
11/30/2021,LANGAT 2,Langat 2,99.648133,95.0420378,88.84822437,95.324,91.386,75.83986493,91.2
11/30/2021,LABOHAN DAGANG,Labohan Dagang,99.624932,65.4099914,95.09892502,80.52516159,86.332,83.22545507,83.2
11/30/2022,Sungai Sireh,Sungai Sireh,,,,,,,75.6
11/30/2022,Bernam River Headworks,Bernam River Headworks,,,,,,,81.8
11/30/2022,RANTAU PANJANG,Rantau Panjang New,,,,,,,84.2
11/30/2022,North Hummock,North Hummock,,,,,,,87.2
11/30/2022,Batang Kali,Batang Kali,,,,,,,90.2
11/30/2022,Kuala Kubu Baru,Kuala Kubu Bharu,,,,,,,91.8
11/30/2022,Kalumpang,Kalumpang,,,,,,,95.3
11/30/2022,Sungai Selisek,Sungai Selisek,,,,,,,86.4
11/30/2022,Sungai Dusun,Sungai Dusun,,,,,,,89.9
11/30/2022,Sungai Tengi,Sungai Tengi,,,,,,,92.8
11/30/2022,Wangsa Maju,Wangsa Maju,,,,,,,78.8
11/30/2022,Bukit Nanas,Bukit Nanas,,,,,,,74
11/30/2022,Sungai Batu,Sungai Batu,,,,,,,74.4
11/30/2022,Sungai Gombak,Sungai Gombak,,,,,,,94
11/30/2022,Ampang Intake,Ampang Intake,,,,,,,95.7
11/30/2022,Sungai Rangkap,Sungai Rangkap,,,,,,,92.8
11/30/2022,Kepong,Kepong,,,,,,,95.7
11/30/2022,Sungai Rumput,Sungai Rumput,,,,,,,93.9
11/30/2022,Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,,,,,,,79.8
10/31/2021,SSP2,Sungai Selangor Fasa 2 Stream D,98.90942,59.4475008,92.19494389,96.2123,88.992,77.4,83.8
11/30/2022,Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,,,,,,,84.8
11/30/2022,Rasa,Rasa,,,,,,,82.2
11/30/2022,Bukit Tampoi,Bukit Tampoi,,,,,,,89.8
11/30/2022,Salak Tinggi,Salak Tinggi,,,,,,,74.4
11/30/2022,Sungai Semenyih,Sungai Semenyih,,,,,,,82.8
11/30/2022,Sungai Labu,Sungai Labu,,,,,,,86.8
11/30/2022,Semenyih 2,Semenyih 2,,,,,,,85.2
11/30/2022,Labohan Dagang,Labohan Dagang,,,,,,,89.5
11/30/2022,Sungai Langat,Sungai Langat,,,,,,,93.1
11/30/2022,Cheras Batu 11,Cheras Batu 11,,,,,,,91.3
11/30/2022,Sungai Pangsoon,Sungai Pangsoon,,,,,,,84.7
11/30/2022,Sungai Lolo,Sungai Lolo,,,,,,,85.7
11/30/2022,Sungai Serai,Sungai Serai,,,,,,,86.2
11/30/2022,Langat 2,Langat 2,,,,,,,92.1
11/30/2022,Intake Semantan (Langat 2),Intake Semantan (Langat 2),,,,,,,89.6
12/31/2021,BERNAM RIVER HEADWORKS,Bernam River Headworks (New),99.160048,84.538725,69.5725707,99.2579,97.105,71.1,86.7
12/31/2021,RANTAU PANJANG,Rantau Panjang New,99.023795,90.8735136,54.59313307,96.7622,89.258,86.15492887,86.2
12/31/2021,NORTH HUMMOCK,North Hummock,89.2673,56.336775,96.89312275,90.5441,81.145,73.2,79.8
12/31/2021,BATANG KALI,Batang Kali,96.764032,85.1990838,95.69261497,96.8045,97.637,87.9,92.9
12/31/2021,KUALA KUBU BARU,Kuala Kubu Bharu,97.901252,100,96.89312275,98.7503,97.105,90,97.1
12/31/2021,KALUMPANG,Kalumpang,98.4337,100,96.89312275,99.6386,95.908,92.1,97.4
12/31/2021,SELISEK,Sungai Selisek,95.581168,92.4183888,85.12651283,98.0312,94.312,74.25,90.3
12/31/2021,SG DUSUN,Sungai Dusun,99.026413,100,93.3437585,98.2427,94.179,84.67889208,95.3
12/31/2021,SG TENGI,Sungai Tengi,98.371813,100,89.94740053,98.4119,94.711,84.75,94.8
12/31/2021,SG BUAYA,Unknown,,,,,,,
10/31/2022,Sungai Selangor Fasa 2 Stream C,Sungai Selangor Fasa 2 Stream C,,,,,,,80.5
12/31/2021,SG SIREH,Sungai Sireh,97.089875,78.3819146,80.13405701,98.4965,51.23816588,81.6,80.9
12/31/2021,SG LANGAT,Sungai Langat,99.488917,91.5758048,86.69796706,86.441,91.652,75.39796886,88.4
12/31/2021,BUKIT TAMPOI,Bukit Tampoi New,94.206208,77.1171886,72.03654057,84.326,81.012,58.00015204,77.5
12/31/2021,CHERAS MILE 11,Cheras Batu 11,99.072292,73.5901408,81.10304756,91.2632,92.051,77.17911705,84.7
