wtp,1/1/2022,1/2/2022,1/3/2022,1/4/2022,1/5/2022,1/6/2022,1/7/2022,1/8/2022,1/9/2022,1/10/2022,1/11/2022,1/12/2022
Batang Kali,152.7560,140.2520,136.5300,128.6690,133.1410,125.9530,132.3860,142.9980,125.3960,120.1050,122.2380,120.0120
Bernam River Headworks (New),729.0270,656.8570,743.1970,733.3420,756.5720,677.7180,739.1640,673.1120,637.7450,634.0390,648.6870,671.0350
Bernam River Headworks (Old),1210.5620,1075.3900,1190.5910,1176.0980,1238.2610,1104.7300,1132.8570,1141.4650,1111.2440,1160.6360,1112.7520,1190.6700
Kalumpang,156.6770,146.7030,152.2730,148.9440,157.8770,157.4750,166.5450,168.1120,175.9240,178.4870,180.3210,189.3160
Kuala Kubu Bharu,211.0500,192.7550,206.5420,198.7730,205.9740,196.4680,209.5780,215.7120,195.6400,196.5490,185.1420,184.9320
North Hummock,414.9970,390.0840,414.0450,392.9840,392.1160,336.1250,336.6680,331.1880,288.2460,301.3030,269.7110,286.4140
Rantau Panjang New,1083.5670,957.1270,1007.6970,973.7210,1044.9600,1056.3780,1042.9750,1026.1380,1027.9120,1054.8160,1037.6310,1106.1660
Sungai Buaya,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Sungai Dusun,41.8800,40.5890,44.4190,43.3760,50.5850,43.2470,45.9410,44.8790,42.8580,43.3740,42.3110,43.1520
Sungai Selisek,51.2160,43.2410,47.3130,43.7750,44.1270,40.2770,42.9040,42.9040,42.3930,71.0700,70.9100,69.5370
Sungai Sireh,510.7180,422.8660,464.5120,463.1940,501.8740,496.5700,477.0610,477.5600,460.0680,465.6340,457.0550,455.2790
Sungai Tengi,54.1120,51.2780,55.2130,50.2490,51.8080,46.9180,53.7260,52.2240,48.2280,49.4080,47.2090,48.9550
Ampang Intake,289.2820,264.6640,288.7440,298.4400,317.1890,309.5670,326.4420,329.8630,310.6000,332.1670,294.4330,328.5720
Bukit Nanas,2726.5360,2273.2490,2614.4760,2521.5390,2963.5870,3262.0560,3287.1390,3364.0130,3357.7330,3546.9180,3128.8370,3395.5440
Kepong,30.2180,27.7760,29.5820,30.1020,31.4050,32.2850,32.0220,28.8680,30.6380,29.5270,27.1330,27.1070
Sungai Batu,3754.7830,3344.4070,3644.3820,3950.3270,3875.5210,3740.0290,3674.6310,3673.9030,3476.3820,3619.3750,3515.5730,3496.1890
Sungai Gombak,950.3120,844.2010,961.4630,953.2190,969.4370,955.3550,956.1700,942.1880,908.4560,958.2890,925.7370,964.7220
Sungai Rangkap,154.8650,195.5370,222.6670,212.8130,220.0940,212.1600,218.4360,213.5650,211.3070,212.3040,209.7800,147.8910
Sungai Rumput,6.3550,5.7400,6.3550,7.3140,8.0770,11.3510,13.6500,17.8090,13.8030,8.6930,8.7550,10.8580
Wangsa Maju,1177.4760,1072.2310,1172.7880,1189.4280,1164.3320,1152.0360,1178.5070,1178.6330,1150.3870,1189.3030,1142.7730,1179.3660
Rasa,7009.8990,6319.8510,7021.7490,6934.9340,7209.9470,6943.1140,7174.2450,6804.7120,6476.0070,6524.4850,6367.8880,6625.4060
Sungai Selangor Fasa 1,30820.2510,28073.2640,31118.0780,30159.5850,30573.8240,29709.9100,31085.0320,30927.1560,29917.4400,30854.5280,30016.4790,30679.0350
Sungai Selangor Fasa 2 Stream C,30168.2800,27664.8500,30706.7150,30284.9360,31060.9450,30971.3640,32380.7990,32397.9410,31285.9430,32699.9960,31780.2870,32804.3550
Sungai Selangor Fasa 3 Stage 1,26377.0360,23280.0250,26352.2540,25731.9790,25884.0890,25589.4980,26344.5740,26513.9940,25664.9930,26555.6910,25789.9220,26608.2820
Bukit Tampoi,395.6750,343.4650,376.6150,366.7130,392.1320,365.2350,362.9050,356.7360,376.5400,395.8150,387.6830,373.4100
Labohan Dagang,3846.3930,3364.4310,3823.5700,3758.3500,3929.2550,3730.1520,3777.3110,3967.0280,3988.9400,4189.3160,4259.5100,4576.7740
Salak Tinggi,150.0950,139.8420,147.6510,139.6580,151.9630,142.4900,132.8640,155.0830,145.8630,147.7820,146.6800,156.8020
Semenyih 2 ,2753.5990,2492.9970,2809.0890,2737.6520,2813.2190,2843.6550,2881.4040,2919.3350,2782.2500,2891.8110,2817.6650,2954.5310
Sungai Labu,2146.3310,1929.3700,2136.4700,2045.3950,2161.7700,2043.4240,2072.8830,2061.6590,2038.1000,2113.2180,1894.4970,2161.3390
Sungai Semenyih,17873.3420,16069.4820,17837.7650,17519.7460,18311.9750,18668.3670,19114.1210,19428.0750,17998.6190,18740.7960,18162.5070,17929.5000
Cheras Batu 11,608.8460,544.8980,588.2600,583.2700,581.7040,581.8950,599.2300,605.3230,584.5310,611.9390,609.1480,620.3010
Langat 2,11987.6160,9839.9190,11134.2220,11006.3210,11432.9900,11749.7380,12091.4160,12390.1450,11591.8190,11735.9510,11664.9390,11754.9560
Sungai Langat,8238.3680,8107.7290,9072.6920,8191.2380,8194.8890,7466.7480,7437.6690,7724.4100,7706.4480,7593.8350,7051.5340,7418.4130
Sungai Lolo - Baru,170.5470,154.3980,169.5880,167.6090,170.6500,166.7170,167.5160,169.3750,166.5320,171.9900,165.9320,171.5260
Sungai Lolo - Lama,1.7470,1.6080,1.8650,2.5990,2.7580,2.6940,2.8340,2.2860,2.0520,2.0880,1.9840,2.1270
Sungai Pangsoon,107.4240,94.6910,103.9030,103.3360,106.2530,113.4750,116.7230,107.2550,106.1010,107.6510,107.5910,106.4250
Sungai Serai,50.2820,38.4640,42.2170,41.3740,46.6260,44.0410,46.8830,46.9460,42.9180,43.7840,44.1020,40.6490
Sungai Selangor Fasa 3 Stage 2,26377.0360,23280.0250,26352.2540,25731.9790,25884.0890,25589.4980,26344.5740,26513.9940,25664.9930,26555.6910,25789.9220,26608.2820
Sungai Selangor Fasa 2 Stream D,30168.2800,27664.8500,30706.7150,30284.9360,31060.9450,30971.3640,32380.7990,32397.9410,31285.9430,32699.9960,31780.2870,32804.3550
Rantau Panjang Old,1083.5670,957.1270,1007.6970,973.7210,1044.9600,1056.3780,1042.9750,1026.1380,1027.9120,1054.8160,1037.6310,1106.1660
