WTP,n_wtp,Code,Description,Amount per month (RM),Production (m3 per month),UnitCost (cent per m3),Month,Year
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,37304.79,1187024,3.142715733,8,2021
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,30575,336511,9.085884265,9,2021
Batang Kali,Batang Kali,70110100,Chemical Consumed,28038,145699,19.24378342,9,2021
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,73735.35,1116251,6.605624541,9,2021
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,85816,2717017,3.158463859,9,2021
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,54374.9,357696,15.20142803,9,2021
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,42080.28,602862,6.980084995,9,2021
Kalumpang,Kalumpang,70110100,Chemical Consumed,7296,144854,5.03679567,9,2021
Kepong,Kepong,70110100,Chemical Consumed,1783,27431,6.499945317,9,2021
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,8856,183315,4.831028557,9,2021
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,253910.8,3762448,6.74855307,9,2021
Langat 2,Langat 2,70110100,Chemical Consumed,400947,10052201,3.988648854,9,2021
North Hummock,North Hummock,70110100,Chemical Consumed,45139.29,395508,11.41299038,9,2021
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,49336.26,1060612,4.651678465,9,2021
Rasa,Rasa,70110100,Chemical Consumed,484.5,6554335,0.007392054,9,2021
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,10061.5,134902,7.458377192,9,2021
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,165958.81,2619644,6.335166534,9,2021
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,113098.14,3731586,3.030833002,9,2021
Sungai Buaya,NA,70110100,Chemical Consumed,184,NULL,NULL,9,2021
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,4534,43196,10.49634225,9,2021
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,34865,869241,4.01097049,9,2021
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,59557.25,2088077.5,2.85225285,9,2021
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,355663.86,9310283,3.82011868,9,2021
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,8173.5,159917,5.111088877,9,2021
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,4593,110333,4.162852456,9,2021
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,11737.75,201086,5.837179117,9,2021
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,1313,6634,19.79198071,9,2021
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,435517.75,28174800,1.545770511,9,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1435673.6,29866405,4.806984972,9,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,25301521,0,8,2020
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,6628,54174,12.23465131,9,2021
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,564173.5,16570796,3.404625221,9,2021
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,4770,39640,12.0332997,9,2021
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,63580,506016,12.56482008,9,2021
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,5182,54252,9.551721596,9,2021
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,34076.15,1143652,2.97959082,9,2021
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,28820.5,295916,9.739419295,10,2021
Batang Kali,Batang Kali,70110100,Chemical Consumed,29718,149048,19.93854329,10,2021
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,72445.9,1157559,6.258506046,10,2021
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,95013.8,2918975,3.255039868,10,2021
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,54215.66,365974,14.81407422,10,2021
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,38863.48,616249,6.306457292,10,2021
Kalumpang,Kalumpang,70110100,Chemical Consumed,7331,150114,4.883621781,10,2021
Kepong,Kepong,70110100,Chemical Consumed,1548,34182,4.528699315,10,2021
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,8684,197297,4.401486084,10,2021
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,241955.4,3946421,6.131008324,10,2021
Langat 2,Langat 2,70110100,Chemical Consumed,398561.2,10652790,3.74137855,10,2021
North Hummock,North Hummock,70110100,Chemical Consumed,48541.2,423990,11.44866624,10,2021
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,53822.91,1072766,5.017208786,10,2021
Rasa,Rasa,70110100,Chemical Consumed,487.5,6938401,0.007026115,10,2021
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,8693,119461,7.27685186,10,2021
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,171251.17,2720867,6.293992687,10,2021
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,105230.88,3845490,2.736475196,10,2021
Sungai Buaya,NA,70110100,Chemical Consumed,180,NULL,NULL,10,2021
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,4060,43929,9.242186255,10,2021
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,34583.13,920450,3.75719811,10,2021
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,47634.9,1691655.5,2.815874745,10,2021
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,351913.18,9468537,3.716658445,10,2021
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,6545,168695,3.87978304,10,2021
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,4368,110270,3.961186179,10,2021
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,6670.25,180183,3.701930815,10,2021
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,1027.5,6424,15.99470735,10,2021
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,425035,28311243,1.501294027,10,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1442563.6,29956983,4.815450207,10,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,26510111,,8,2021
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,5815,53973,10.77390547,10,2021
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,584109.1,18124960,3.222678009,10,2021
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,3105,40951,7.582232424,10,2021
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,171525,517957,33.11568335,10,2021
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,5195.5,57372,9.055811197,10,2021
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,34480.39,1216443,2.834525744,10,2021
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,29098.5,268263,10.84700462,11,2021
Batang Kali,Batang Kali,70110100,Chemical Consumed,27194,144433,18.82810715,11,2021
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,72747.83,1143889,6.359693117,11,2021
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,71376.5,2638395,2.705300002,11,2021
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,49250.7,374968,13.13464082,11,2021
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,45644.78,582183,7.840280462,11,2021
Kalumpang,Kalumpang,70110100,Chemical Consumed,6939,144974,4.786375488,11,2021
Kepong,Kepong,70110100,Chemical Consumed,3099,34332,9.026564138,11,2021
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,9716,192302,5.052469553,11,2021
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,261905,3741651,6.999717504,11,2021
Langat 2,Langat 2,70110100,Chemical Consumed,438223.85,10155027,4.315339093,11,2021
North Hummock,North Hummock,70110100,Chemical Consumed,43357.01,370874,11.69049596,11,2021
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,56375.04,1033762,5.453386756,11,2021
Rasa,Rasa,70110100,Chemical Consumed,499.5,6659216,0.007500883,11,2021
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,9109.5,136797,6.659137262,11,2021
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,151159.36,2638449,5.729099179,11,2021
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,110025.12,3652359,3.012439905,11,2021
Sungai Buaya,NA,70110100,Chemical Consumed,94,NULL,NULL,11,2021
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,4364,40503,10.77451053,11,2021
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,35195,897331,3.922187019,11,2021
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,55626.67,2050307.5,2.713089134,11,2021
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,376298.82,8987062,4.187117214,11,2021
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,6680,165284,4.041528521,11,2021
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,3437,107639,3.193080575,11,2021
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,8023.75,136244,5.889250169,11,2021
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,1258,6023,20.88660136,11,2021
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,456808.3,30041615,1.520585028,11,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1418528.95,29360649,4.831395076,11,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,24227859,0,9,2020
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,6772,51196,13.22759591,11,2021
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,590169.25,17124761,3.446291893,11,2021
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,4230,40031,10.56681072,11,2021
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,284348,501852,56.65973235,11,2021
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,5761.5,57360,10.04445607,11,2021
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,29041.38,1139696,2.548168985,11,2021
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,22769.5,274042,8.30876289,12,2021
Batang Kali,Batang Kali,70110100,Chemical Consumed,29948,145495,20.58352521,12,2021
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,70290.47,1174421,5.985116921,12,2021
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,97094.5,2985189,3.252541129,12,2021
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,45269.53,342622,13.21267461,12,2021
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,37428.05,510177,7.33628721,12,2021
Kalumpang,Kalumpang,70110100,Chemical Consumed,7029,147938,4.75131474,12,2021
Kepong,Kepong,70110100,Chemical Consumed,3173.5,30563,10.38347021,12,2021
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,8272,203194,4.070986348,12,2021
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,258877.2,3821746,6.773793967,12,2021
Langat 2,Langat 2,70110100,Chemical Consumed,405880.8,10539823,3.850926149,12,2021
North Hummock,North Hummock,70110100,Chemical Consumed,44313.2,397152,11.15774313,12,2021
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,49193.49,1052220,4.675209557,12,2021
Rasa,Rasa,70110100,Chemical Consumed,441,6842773,0.006444756,12,2021
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,8570.5,98905,8.665385976,12,2021
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,119628.7,2680230,4.463374412,12,2021
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,141766.71,3683787,3.848395958,12,2021
Sungai Buaya,NA,70110100,Chemical Consumed,184,NULL,NULL,12,2021
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,4683,42508,11.01674979,12,2021
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,37715.5,941512,4.005843792,12,2021
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,56064.89,2132744,2.628767916,12,2021
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,372514.14,8936366,4.168519284,12,2021
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,8061,171375,4.703719912,12,2021
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,3212,108731,2.954079333,12,2021
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,6780.25,139257,4.868875532,12,2021
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,815,6137,13.28010429,12,2021
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,468177,30881772,1.516030233,12,2021
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1423004.75,30078466,4.730975143,12,2021
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,25456352,,9,2021
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,6028,52085,11.57338965,12,2021
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,583343.3,17454992,3.34198549,12,2021
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,5242.5,47616,11.00995464,12,2021
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,224885.5,526411,42.72051686,12,2021
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,5486.5,54648,10.03970868,12,2021
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,34209.96,1150901,2.97245028,12,2021
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,28023,289282,9.68708734,1,2022
Batang Kali,Batang Kali,70110100,Chemical Consumed,30669.1,152756,20.07718191,1,2022
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,48596.38,1210562,4.014365229,1,2022
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,74750.08,2726536,2.741576858,1,2022
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,51526.89,395675,13.02252859,1,2022
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,45391,608846,7.45525141,1,2022
Kalumpang,Kalumpang,70110100,Chemical Consumed,7124.6,156677,4.547317092,1,2022
Kepong,Kepong,70110100,Chemical Consumed,2466.2,30218,8.161360778,1,2022
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,8854.6,211050,4.195498697,1,2022
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,293350.12,3846393,7.626628896,1,2022
Langat 2,Langat 2,70110100,Chemical Consumed,509603.62,11987616,4.251083952,1,2022
North Hummock,North Hummock,70110100,Chemical Consumed,46406.04,414997,11.18225915,1,2022
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,58520.22,1083567,5.400701572,1,2022
Rasa,Rasa,70110100,Chemical Consumed,450,7009899,0.006419493,1,2022
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,11683.2,150095,7.783870216,1,2022
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,109558.22,2753599,3.978728203,1,2022
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,154452.84,3754783,4.113495773,1,2022
Sungai Buaya,NA,70110100,Chemical Consumed,215,NULL,NULL,1,2022
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,4547.4,41880,10.85816619,1,2022
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,38545.5,950312,4.056088948,1,2022
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,62676.16,2146322.5,2.920165073,1,2022
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,392234.5,8238368,4.761070396,1,2022
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,7007,170547,4.108544859,1,2022
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,3004.8,107424,2.797140304,1,2022
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,7103.55,154865,4.586930552,1,2022
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,1693.7,6355,26.65145555,1,2022
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,516089.43,30820251,1.674514039,1,2022
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1485916.64,30168280,4.925427104,1,2022
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,25750671,0,10,2020
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,6778.6,51216,13.23531709,1,2022
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,577969.4,17873342,3.233695187,1,2022
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,4640,50282,9.227954338,1,2022
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,306750,510718,60.06250024,1,2022
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,5778.6,54112,10.67896215,1,2022
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,30910.68,1177476,2.625164335,1,2022
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,28623,264664,10.81484448,2,2022
Batang Kali,Batang Kali,70110100,Chemical Consumed,28404.4,140252,20.25240282,2,2022
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,69158.71,1075390,6.431035252,2,2022
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,59726.52,2273249,2.627363742,2,2022
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,45053.06,343465,13.1172201,2,2022
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,35609.25,544898,6.535030409,2,2022
Kalumpang,Kalumpang,70110100,Chemical Consumed,7687.1,146703,5.239906478,2,2022
Kepong,Kepong,70110100,Chemical Consumed,1181.2,27776,4.252592166,2,2022
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,9058.4,192755,4.699437109,2,2022
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,271428.8,3364431,8.067598949,2,2022
Langat 2,Langat 2,70110100,Chemical Consumed,464228.52,9839919,4.717808348,2,2022
North Hummock,North Hummock,70110100,Chemical Consumed,35275.71,390084,9.0431061,2,2022
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,50298.88,957127,5.255193929,2,2022
Rasa,Rasa,70110100,Chemical Consumed,5109.18,6319851,0.080843362,2,2022
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,10029.6,139842,7.172094221,2,2022
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,111485.84,2492997,4.471960456,2,2022
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,104747.03,3344407,3.132006063,2,2022
Sungai Buaya,NA,70110100,Chemical Consumed,0,NULL,NULL,2,2022
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,4767.3,40589,11.74530045,2,2022
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,33385.8,844201,3.954721684,2,2022
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,56920.68,1929361.5,2.950234054,2,2022
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,335225.58,8107729,4.134642142,2,2022
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,8029.4,154398,5.200455964,2,2022
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,4147.2,94691,4.379719298,2,2022
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,8598,195537,4.397121772,2,2022
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,1012.5,5740,17.63937282,2,2022
Sungai Selangor Fasa 1,Sungai Selangor Fasa 1,70110100,Chemical Consumed,538525.06,28073264,1.918284457,2,2022
Sungai Selangor Fasa 2,Sungai Selangor Fasa 2 Stream C,70110100,Chemical Consumed,1446786.42,27664850,5.229691901,2,2022
Sungai Selangor Fasa 3,Sungai Selangor Fasa 3 Stage 1,70110100,Chemical Consumed,0,26062642,,10,2021
Sungai Selisek,Sungai Selisek,70110100,Chemical Consumed,6098.6,43241,14.10374413,2,2022
Sungai Semenyih,Sungai Semenyih,70110100,Chemical Consumed,534798.06,16069482,3.328035465,2,2022
Sungai Serai,Sungai Serai,70110100,Chemical Consumed,3727.5,38464,9.690879784,2,2022
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,100418.4,422866,23.74709719,2,2022
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,5298.6,51278,10.33308631,2,2022
